TEB_Class,VEGF,BLDF,PAVF,BLDH,Z0RF,Z0RD,ALRF,ALRD,ALWL,EMRF,EMRD,EMWL,HCRF1,HCRD1,HCWL1,HCRF2,HCRD2,HCWL2,HCRF3,HCRD3,HCWL3,TCRF1,TCRD1,TCWL1,TCRF2,TCRD2,TCWL2,TCRF3,TCRD3,TCWL3,DPRF1,DPRD1,DPWL1,DPRF2,DPRD2,DPWL2,DPRF3,DPRD3,DPWL3,QHTR,QETR,QHIN,QEIN,VF_1,VF_2,VF_3,VF_4,VF_5,VF_6,VF_7,VF_8,VF_9,VF10,VF11,VF12,VF13,VF14,VF15,VF16,VF17,VF18,VF19,VF20,VF21,VF22,VF23,VF24,VF25,VF26
212,0.387117573,0.453192812,0.159689615,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193558787,0,0,0,0,0,0,0,0.612882427,0,0,0,0.193558787,0
213,0.374054603,0.46199751,0.163947887,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187027302,0,0,0,0,0,0,0,0.625945397,0,0,0,0.187027302,0
214,0.361960182,0.470149387,0.167890431,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180980091,0,0,0,0,0,0,0,0.638039818,0,0,0,0.180980091,0
215,0.350700546,0.477738603,0.171560852,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175350273,0,0,0,0,0,0,0,0.649299454,0,0,0,0.175350273,0
216,0.340167859,0.48483784,0.174994301,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17008393,0,0,0,0,0,0,0,0.659832141,0,0,0,0.17008393,0
217,0.330273921,0.491506549,0.178219531,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16513696,0,0,0,0,0,0,0,0.669726079,0,0,0,0.16513696,0
218,0.320945668,0.497793974,0.181260358,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160472834,0,0,0,0,0,0,0,0.679054332,0,0,0,0.160472834,0
219,0.312121897,0.503741368,0.184136735,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156060949,0,0,0,0,0,0,0,0.687878103,0,0,0,0.156060949,0
220,0.303750831,0.509383631,0.186865538,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151875416,0,0,0,0,0,0,0,0.696249169,0,0,0,0.151875416,0
221,0.295788277,0.514750549,0.189461175,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147894138,0,0,0,0,0,0,0,0.704211723,0,0,0,0.147894138,0
222,0.28819621,0.519867751,0.191936039,14.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144098105,0,0,0,0,0,0,0,0.71180379,0,0,0,0.144098105,0
